,theta_vb,theta_bj,theta_wv,pdf_vb,pdf_bj,pdf_wv,pdf_vb_std,pdf_bj_std,pdf_wv_std
35,2.271819610022216,2.271819610022216,2.271819610022216,0.5069334065,0.27978181950000003,0.5128994995,0.047324719000000015,0.004298690999999966,0.0005223330000000415
36,2.258804846830098,2.258804846830098,2.258804846830098,0.50336414,0.2729315705,0.5111494005,0.04654902599999999,0.004205777000000022,0.0006399790000000127
37,2.2459278597319283,2.2459278597319283,2.2459278597319283,0.4998483135,0.26645141699999997,0.5095602495,0.04610947099999996,0.004124830000000024,0.0005599450000000061
38,2.233182293296686,2.233182293296686,2.233182293296686,0.49658698549999997,0.26032833450000004,0.5078531795000001,0.04556253099999996,0.004145863000000027,0.0007357049999999754
39,2.2205621942192693,2.2205621942192693,2.2205621942192693,0.493356896,0.254620805,0.5062691964999999,0.04499555599999994,0.004048493999999958,0.000621588999999978
40,2.2080619754952004,2.2080619754952004,2.2080619754952004,0.489995896,0.2491034185,0.5047614794999999,0.044359949999999926,0.004201747000000006,0.0007404169999999377
41,2.1956763845562053,2.1956763845562053,2.1956763845562053,0.4867560525,0.2439093395,0.5032183699999999,0.043599761000000015,0.00393500300000002,0.0006471719999999737
42,2.183400474843519,2.183400474843519,2.183400474843519,0.48351502700000004,0.239038341,0.501713837,0.04269513800000008,0.0038087899999999786,0.0005678059999999485
43,2.17122958037542,2.17122958037542,2.17122958037542,0.480520671,0.2344124305,0.5003099445,0.041695076,0.003916001000000002,0.0006202209999999764
44,2.1591592929314998,2.1591592929314998,2.1591592929314998,0.4774984235,0.2299307275,0.49885392149999996,0.04082745700000001,0.003785074999999999,0.0007323929999999979
45,2.147185441531094,2.147185441531094,2.147185441531094,0.47457439199999996,0.225784712,0.497428683,0.040172193999999994,0.003696054000000004,0.0006919140000000157
46,2.135304073929192,2.135304073929192,2.135304073929192,0.47164622700000003,0.2218216085,0.4960325295,0.03936742600000004,0.0037598490000000095,0.0008441530000000141
47,2.1235114398916797,2.1235114398916797,2.1235114398916797,0.4687387545,0.2180689345,0.494754779,0.03841049299999999,0.0036375029999999864,0.000749289999999958
48,2.111803976044219,2.111803976044219,2.111803976044219,0.465986634,0.214432882,0.493499009,0.03766202200000002,0.003794153999999994,0.0007567760000000145
49,2.1001782921165457,2.1001782921165457,2.1001782921165457,0.463339594,0.211039381,0.49218938300000004,0.036890054000000005,0.003651856000000009,0.0007616939999999794
50,2.0886311584272756,2.0886311584272756,2.0886311584272756,0.46076453100000003,0.2078013385,0.49097346799999997,0.036182718,0.0035055209999999837,0.000693043999999976
