,l_perp,l_par,l_par_std
99,0.039285733,0.06298103318975168,0.0010295949910331878
100,0.0396825586,0.06352285456752439,0.0011040565043989002
101,0.0400793842,0.06405468862045,0.0011462715550255645
102,0.0404762098,0.06463129574369174,0.001116981824575855
103,0.0408730354,0.06510494917938248,0.0011377272932537527
104,0.0412698609,0.06556606311679489,0.001085604759392171
105,0.0416666865,0.06616922782027053,0.0010937103849793794
106,0.0420635121,0.06668849832897675,0.0011315089149341526
107,0.0424603377,0.0671494581098476,0.001109880394014079
108,0.0428571633,0.06768334860582181,0.0011584837230931427
109,0.0432539889,0.06824572905621101,0.0011192552122061827
110,0.0436508145,0.06881171264665303,0.0011918108567491384
111,0.0440476401,0.06926170032361764,0.0011796190570212625
112,0.0444444656,0.0698535878148965,0.0012647350789101244
